Outlet_ID,cqr_lower,cqr_upper
OUT_00318,922.24664,1099.9504
OUT_00319,883.65576,1182.2571
OUT_00320,899.10254,1251.3293
OUT_00321,920.3231,1322.8347
OUT_00322,904.16113,1092.3171
OUT_00323,916.513,1347.4458
OUT_00324,802.0347,1009.9946
OUT_00325,916.6664,1097.1504
OUT_00326,918.86127,1220.1575
OUT_00327,897.8829,1248.059
OUT_00328,908.588,1274.5228
OUT_00329,887.7258,1145.8231
OUT_00330,917.0882,1176.3229
OUT_00331,442.73572,1078.296
OUT_00332,902.65375,1046.1003
OUT_00333,914.8235,1218.317
OUT_00334,899.79004,1126.898
OUT_00335,896.8391,1212.1173
OUT_00336,912.6743,1247.8058
OUT_00337,904.4301,1135.5017
OUT_00338,920.3052,1103.6389
OUT_00339,919.54236,1097.0874
OUT_00340,919.0056,1389.7644
OUT_00341,896.8916,1081.3746
OUT_00342,896.2663,1075.6442
OUT_00343,903.6104,1079.1498
OUT_00344,889.2734,1083.2798
OUT_00345,894.4298,1147.1091
OUT_00346,914.9207,1094.6108
OUT_00347,906.804,1252.5823
OUT_00348,895.4031,1057.3518
OUT_00349,887.96185,1069.1467
OUT_00350,912.4019,1128.2319
OUT_00351,925.8661,1390.3726
OUT_00352,889.7715,1202.506
OUT_00353,940.2168,1280.241
OUT_00354,911.6418,1440.617
OUT_00355,912.77246,1306.1217
OUT_00356,892.7684,1361.3749
OUT_00357,889.0783,1067.4443
OUT_00358,878.74585,1148.0143
OUT_00359,901.92255,1114.9078
OUT_00360,898.5285,1101.1461
OUT_00361,911.98083,1181.4491
OUT_00362,910.2895,1430.6926
OUT_00363,924.29205,1440.6123
OUT_00364,900.6302,1110.2463
OUT_00365,880.6973,1085.9513
OUT_00366,878.11084,997.6427
OUT_00367,907.5555,1306.886
OUT_00368,900.4367,1054.6943
OUT_00369,899.74536,1100.5698
OUT_00370,913.5006,1177.4298
OUT_00371,895.29736,1384.577
OUT_00372,895.04175,1154.6522
OUT_00373,899.69507,1184.7725
OUT_00374,894.6524,1178.3298
OUT_00375,896.9921,1057.4977
OUT_00376,893.5303,1065.5592
OUT_00377,905.58704,1098.1729
OUT_00378,902.54565,1214.0662
OUT_00379,901.9084,1096.2621
OUT_00380,894.0057,1144.0682
OUT_00381,933.46857,1461.5223
OUT_00382,895.4421,1160.7678
OUT_00383,894.52734,1114.9196
OUT_00384,904.9838,1304.8818
OUT_00385,919.9839,1179.2312
OUT_00386,891.0859,1013.7541
OUT_00387,890.71326,1140.3639
OUT_00388,889.64484,1190.2031
OUT_00389,884.67365,1196.1147
OUT_00390,900.50104,1266.8175
OUT_00391,367.74127,941.42554
OUT_00392,904.5396,1148.4348
OUT_00393,902.4823,1102.6129
OUT_00394,916.2852,1110.0898
OUT_00395,905.3752,1091.5977
OUT_00396,911.39374,1256.5411
OUT_00397,897.10205,1318.0145
OUT_00398,902.5275,1096.9268
OUT_00399,889.2545,1142.631
OUT_00400,913.7518,1346.5571
OUT_00401,59.66509,192.37721
OUT_00402,912.5442,1140.9948
OUT_00403,259.25952,426.9268
OUT_00404,53.56631,177.51688
OUT_00405,283.60822,404.67636
OUT_00406,52.469997,174.98904
OUT_00407,83.30661,199.07535
OUT_00408,70.82698,193.93462
OUT_00409,244.6291,407.04846
OUT_00410,253.55934,433.48016
OUT_00411,73.75049,199.72182
OUT_00412,59.80102,188.1089
OUT_00413,902.1303,1084.1616
OUT_00414,62.864635,194.86407
OUT_00415,66.44385,200.02905
OUT_00416,289.40088,427.15652
OUT_00417,884.9983,1084.6823
OUT_00418,281.61273,412.10513
OUT_00419,48.94891,175.97182
OUT_00420,64.02556,201.35017
OUT_00421,238.16292,412.1199
OUT_00422,235.3843,357.97974
OUT_00423,899.68024,1121.6708
OUT_00424,894.3299,1139.1176
OUT_00425,69.58121,194.06328
OUT_00426,274.93158,409.16418
OUT_00427,245.68703,410.06293
OUT_00428,918.059,1140.2656
OUT_00429,240.16756,405.52115
OUT_00430,63.344173,187.47794
OUT_00431,86.797104,196.55994
OUT_00432,920.26196,1390.3726
OUT_00433,256.64124,435.11606
OUT_00434,915.8609,1088.6602
OUT_00435,277.5965,405.94388
OUT_00436,72.86598,200.64468
OUT_00437,74.16853,202.52411
OUT_00438,278.84717,415.73218
OUT_00439,262.555,407.62387
OUT_00440,75.41855,201.07497
OUT_00441,76.96489,202.01593
OUT_00442,92.415146,198.88354
OUT_00443,237.90352,403.46808
OUT_00444,248.4344,409.2205
OUT_00445,884.8943,1283.0706
OUT_00446,75.303055,204.22429
OUT_00447,67.478455,192.44922
OUT_00448,67.45279,198.0834
OUT_00449,1583.5344,2143.329
OUT_00450,934.2454,1119.7804
OUT_00451,58.708523,185.04051
OUT_00452,72.31955,204.9237
OUT_00453,222.83687,408.40497
OUT_00454,239.74629,403.40353
OUT_00455,1886.175,2137.9595
OUT_00456,250.907,410.42935
OUT_00457,906.54425,1117.9966
OUT_00458,69.61752,200.7742
OUT_00459,221.334,404.97235
OUT_00460,261.0442,403.4721
OUT_00461,53.160664,177.54048
OUT_00462,62.597424,187.65996
OUT_00463,895.3129,1084.2874
OUT_00464,85.33853,218.64609
OUT_00465,281.9496,436.02234
OUT_00466,909.4546,1129.4786
OUT_00467,53.091816,181.0421
OUT_00468,903.3962,1104.3633
OUT_00469,87.50191,205.6136
OUT_00470,59.11034,183.98076
OUT_00471,228.79726,403.2821
OUT_00472,246.68507,403.46808
OUT_00473,59.399395,177.18541
OUT_00474,53.929546,178.87149
OUT_00475,55.00729,179.82864
OUT_00476,259.61578,428.26157
OUT_00477,78.999115,203.47818
OUT_00478,249.95094,362.95306
OUT_00479,77.318344,206.06743
OUT_00480,87.65318,203.44803
OUT_00481,67.65964,199.3782
OUT_00482,279.88812,409.0206
OUT_00483,74.31853,222.76738
OUT_00484,53.857357,183.52632
OUT_00485,262.52942,413.40308
OUT_00486,269.75238,414.7303
OUT_00487,73.7372,199.47923
OUT_00488,68.71329,197.97006
OUT_00489,251.33644,416.96585
OUT_00490,66.778336,198.07
OUT_00491,68.09413,192.57864
OUT_00492,886.95416,1114.537
OUT_00493,302.0844,682.49
OUT_00494,60.7236,186.9144
OUT_00495,52.090298,169.18506
OUT_00496,83.42438,202.29092
OUT_00497,287.11957,424.97214
OUT_00498,261.42255,433.61884
OUT_00499,265.58368,404.08032
OUT_00500,73.6151,208.407
OUT_00501,273.89624,410.32156
OUT_00502,244.92091,413.39395
OUT_00503,895.2906,1064.7286
OUT_00504,242.34425,394.7095
OUT_00505,76.38684,220.956
OUT_00506,924.1629,1140.8738
OUT_00507,921.1546,1139.9838
OUT_00508,252.1592,404.7356
OUT_00509,286.9687,434.6036
OUT_00510,233.40907,405.3438
OUT_00511,281.85516,421.28674
OUT_00512,56.495,173.2793
OUT_00513,70.595566,196.2439
OUT_00514,70.46979,199.8211
OUT_00515,923.27856,1106.7981
OUT_00516,84.95413,200.50067
OUT_00517,252.62111,403.46808
OUT_00518,241.39766,404.1891
OUT_00519,73.8967,203.91586
OUT_00520,57.999928,180.82768
OUT_00521,77.32672,194.91936
OUT_00522,68.55559,196.40678
OUT_00523,68.91943,193.9585
OUT_00524,85.99184,209.09785
OUT_00525,894.3072,1093.0453
OUT_00526,239.66762,410.2901
OUT_00527,262.3354,435.60513
OUT_00528,273.794,419.96777
OUT_00529,269.50098,403.46808
OUT_00530,930.0065,1237.5819
OUT_00531,61.7486,172.35805
OUT_00532,77.00679,201.47055
OUT_00533,85.216934,203.7356
OUT_00534,902.9256,1278.9697
OUT_00535,49.088886,187.6753
OUT_00536,55.49261,179.5613
OUT_00537,55.349888,178.9897
OUT_00538,77.581406,200.04024
OUT_00539,922.83997,1088.1012
OUT_00540,72.567215,198.25127
OUT_00541,282.95337,425.34186
OUT_00542,62.962597,193.75014
OUT_00543,67.17618,198.67479
OUT_00544,62.551548,184.72261
OUT_00545,241.0331,406.29684
OUT_00546,229.2093,426.08966
OUT_00547,78.76337,203.7459
OUT_00548,66.330444,186.81161
OUT_00549,58.978764,183.77574
OUT_00550,250.98244,432.02405
OUT_00551,897.9602,1141.8738
OUT_00552,75.25447,212.64941
OUT_00553,228.8904,384.779
OUT_00554,67.9503,195.12405
OUT_00555,71.32295,197.46176
OUT_00556,249.22774,396.94406
OUT_00557,62.988003,185.2468
OUT_00558,56.389286,180.44684
OUT_00559,62.34937,189.2502
OUT_00560,252.40016,404.0763
OUT_00561,77.753235,201.26877
OUT_00562,73.24689,193.11844
OUT_00563,91.92226,216.35213
OUT_00564,78.404816,199.25331
OUT_00565,254.29323,429.04547
OUT_00566,102.21721,241.34866
OUT_00567,922.4561,1117.653
OUT_00568,1939.665,2137.9595
OUT_00569,56.397686,188.25179
OUT_00570,886.122,1077.9904
OUT_00571,68.76007,193.73734
OUT_00572,69.61594,196.6879
OUT_00573,910.48065,1092.2107
OUT_00574,293.01846,619.4497
OUT_00575,75.07524,192.72435
OUT_00576,239.71083,389.34348
OUT_00577,920.83514,1089.8864
OUT_00578,82.938675,196.44934
OUT_00579,1620.8296,2143.329
OUT_00580,925.5932,1132.4727
OUT_00581,901.0042,1089.1113
OUT_00582,253.20473,411.31653
OUT_00583,74.83273,198.07036
OUT_00584,65.11058,195.07623
OUT_00585,251.07301,418.47363
OUT_00586,216.54256,384.59302
OUT_00587,239.69527,404.25363
OUT_00588,28.371311,138.93661
OUT_00589,900.38086,1126.8528
OUT_00590,280.79883,409.42212
OUT_00591,884.7951,1050.692
OUT_00592,63.985332,190.46407
OUT_00593,72.45892,195.72195
OUT_00594,254.36537,425.80997
OUT_00595,239.50087,409.662
OUT_00596,71.574615,194.04547
OUT_00597,59.375675,187.7903
OUT_00598,51.162853,167.91534
OUT_00599,79.8156,202.55646
OUT_00600,875.9524,1098.3662
OUT_00601,282.5417,446.59326
OUT_00602,78.04068,203.41893
OUT_00603,889.9282,1207.034
OUT_00604,248.03127,413.10794
OUT_00605,70.88196,196.79869
OUT_00606,895.1273,1169.4634
OUT_00607,884.002,1150.1881
OUT_00608,288.836,428.3496
OUT_00609,263.18225,405.52115
OUT_00610,882.0107,1070.0153
OUT_00611,81.00554,210.45259
OUT_00612,94.68495,203.03845
OUT_00613,76.42523,199.01349
OUT_00614,932.9842,1106.1857
OUT_00615,53.06934,188.4612
OUT_00616,248.09547,407.22598
OUT_00617,241.37166,411.7507
OUT_00618,276.14282,404.01175
OUT_00619,1644.2324,2150.743
OUT_00620,287.74976,436.30243
OUT_00621,271.33777,409.9041
OUT_00622,62.32485,186.20065
OUT_00623,80.88083,206.32819
OUT_00624,252.83815,425.2654
OUT_00625,255.74635,429.0316
OUT_00626,912.165,1156.7837
OUT_00627,204.28651,331.04654
OUT_00628,68.26297,195.8505
OUT_00629,256.956,432.65854
OUT_00630,69.21689,198.34662
OUT_00631,76.577515,199.73047
OUT_00632,47.94782,170.73091
OUT_00633,902.7434,1123.1584
OUT_00634,285.1407,427.01605
OUT_00635,284.4359,438.10114
OUT_00636,243.31062,391.0278
OUT_00637,240.57991,426.36392
OUT_00638,254.12837,439.15088
OUT_00639,831.1572,1085.7067
OUT_00640,278.31824,438.77182
OUT_00641,114.25368,295.51547
OUT_00642,246.96675,393.50467
OUT_00643,235.63786,380.36084
OUT_00644,283.69617,431.77176
OUT_00645,250.00887,410.9931
OUT_00646,68.17702,190.69722
OUT_00647,67.899765,191.35349
OUT_00648,249.24092,413.42767
OUT_00649,925.33356,1409.7961
OUT_00650,262.67535,428.93274
OUT_00651,70.608765,199.37796
OUT_00652,237.20284,404.01175
OUT_00653,51.229122,171.87668
OUT_00654,85.45685,204.48405
OUT_00655,75.05888,195.68687
OUT_00656,252.28987,447.10263
OUT_00657,66.07213,190.89752
OUT_00658,297.39166,797.78
OUT_00659,72.645996,200.82466
OUT_00660,905.4023,1287.7303
OUT_00661,273.0567,404.08032
OUT_00662,286.78613,435.47137
OUT_00663,283.83795,424.3074
OUT_00664,62.79308,195.45981
OUT_00665,76.870575,195.55289
OUT_00666,915.545,1134.9226
OUT_00667,257.08417,407.08835
OUT_00668,56.684467,180.8137
OUT_00669,73.1947,217.30994
OUT_00670,250.0453,410.00662
OUT_00671,277.4052,413.4372
OUT_00672,74.65578,202.92195
OUT_00673,276.6089,421.9677
OUT_00674,378.31738,937.4659
OUT_00675,80.70932,202.1399
OUT_00676,59.369244,191.41139
OUT_00677,261.55194,444.05634
OUT_00678,67.18338,195.7918
OUT_00679,86.33626,200.52559
OUT_00680,245.31349,407.16693
OUT_00681,63.092533,177.01418
OUT_00682,62.50639,188.74484
OUT_00683,234.70259,407.34494
OUT_00684,925.06866,1139.3239
OUT_00685,68.24837,190.66191
OUT_00686,895.155,1282.187
OUT_00687,897.0976,1068.9636
OUT_00688,67.29379,194.82469
OUT_00689,1881.6431,2137.9595
OUT_00690,73.188934,202.41345
OUT_00691,926.7477,1392.3319
OUT_00692,69.83981,192.93622
OUT_00693,280.48035,411.71362
OUT_00694,908.3971,1296.613
OUT_00695,72.34874,194.76593
OUT_00696,67.02989,197.84499
OUT_00697,280.43347,411.60477
OUT_00698,906.63245,1086.9705
OUT_00699,882.5571,1077.8029
OUT_00700,67.56482,192.61917
OUT_00701,71.35718,176.39168
OUT_00702,60.996708,186.9899
OUT_00703,232.05708,407.04984
OUT_00704,258.56268,404.49902
OUT_00705,82.8584,201.37943
OUT_00706,242.11269,412.05023
OUT_00707,68.301544,194.05602
OUT_00708,52.619686,182.7033
OUT_00709,72.64644,193.86206
OUT_00710,249.16463,409.7558
OUT_00711,77.429886,212.39546
OUT_00712,890.9363,1054.7336
OUT_00713,72.96001,199.92323
OUT_00714,42.50716,168.18968
OUT_00715,285.43976,427.35812
OUT_00716,55.627728,181.52138
OUT_00717,913.86597,1131.014
OUT_00718,57.835384,181.27003
OUT_00719,74.81056,202.8865
OUT_00720,906.1952,1103.0283
OUT_00721,73.51938,206.91104
OUT_00722,247.26753,406.33096
OUT_00723,75.86885,192.70569
OUT_00724,64.137344,192.6947
OUT_00725,49.708675,169.48372
OUT_00726,917.2038,1133.6782
OUT_00727,276.04272,410.92606
OUT_00728,904.4843,1272.7246
OUT_00729,61.506184,183.0293
OUT_00730,281.68732,441.15396
OUT_00731,890.29266,1215.3967
OUT_00732,278.46838,409.5884
OUT_00733,273.2699,416.1072
OUT_00734,1014.8946,1132.3187
OUT_00735,76.13747,219.92546
OUT_00736,906.52246,1083.2831
OUT_00737,902.73926,1144.9535
OUT_00738,58.570637,179.11685
OUT_00739,92.36766,208.96516
OUT_00740,246.5107,412.65228
OUT_00741,88.3459,198.43585
OUT_00742,1646.7556,2143.329
OUT_00743,77.88617,196.43733
OUT_00744,196.18211,397.58847
OUT_00745,278.4297,418.33627
OUT_00746,899.39624,1160.8264
OUT_00747,286.11975,815.29724
OUT_00748,103.71965,203.90166
OUT_00749,257.4629,432.77957
OUT_00750,242.1277,402.28732
OUT_00751,71.73863,196.36847
OUT_00752,66.40387,197.70914
OUT_00753,903.65924,1082.7657
OUT_00754,75.03792,207.98424
OUT_00755,919.549,1058.7523
OUT_00756,242.4828,395.96832
OUT_00757,216.92287,351.38284
OUT_00758,66.26428,190.43898
OUT_00759,43.912197,163.48108
OUT_00760,65.42435,192.0965
OUT_00761,244.56764,404.7356
OUT_00762,66.47034,195.88506
OUT_00763,53.76254,175.4947
OUT_00764,289.0677,418.6755
OUT_00765,61.356205,188.21085
OUT_00766,62.376324,191.21265
OUT_00767,267.8777,407.9359
OUT_00768,47.119274,175.27348
OUT_00769,279.35785,408.62213
OUT_00770,59.14236,183.58249
OUT_00771,260.5614,425.7646
OUT_00772,221.96681,412.2218
OUT_00773,896.11163,1107.1385
OUT_00774,73.34042,203.96437
OUT_00775,267.08234,405.3438
OUT_00776,67.940506,192.46965
OUT_00777,70.47391,191.69154
OUT_00778,1885.7173,2137.9595
OUT_00779,240.30031,404.0763
OUT_00780,62.848743,192.27734
OUT_00781,72.777756,194.14735
OUT_00782,48.42526,160.53896
OUT_00783,61.36768,186.1245
OUT_00784,66.55501,194.98584
OUT_00785,281.10474,414.4926
OUT_00786,92.5327,241.4148
OUT_00787,267.54504,411.7812
OUT_00788,243.77345,412.59314
OUT_00789,899.1192,1231.8706
OUT_00790,75.54639,196.31215
OUT_00791,1515.5977,2105.9329
OUT_00792,899.9321,1174.6946
OUT_00793,197.6302,384.044
OUT_00794,55.775517,181.30586
OUT_00795,915.15686,1068.5569
OUT_00796,65.91998,196.0185
OUT_00797,285.5489,415.31796
OUT_00798,229.20497,410.96014
