Outlet_ID,Outlet_Type,Outlet_Size,dominant_distributor,observed_mean_monthly_liters,predicted_potential_liters,headroom_liters,competitive_intensity,bill_per_liter,Trade_Spend_Allocation_LKR,expected_incremental_liters,expected_incremental_revenue_lkr,liters_per_1000_lkr
OUT_01505,Bakery,Extra Large,DIST_W_01,1354.155683594405,2609.685,1255.529316405595,0.125,260.21144486287426,8102.47,180.93,47080.88,22.33
OUT_07215,Eatery,Extra Large,DIST_W_01,1304.0553071821523,2545.35,1241.2946928178476,0.125,259.7653315289165,8085.06,180.7,46940.45,22.35
OUT_04136,Pharmacy,Extra Large,DIST_W_03,1364.3116175639689,2630.305,1265.993382436031,0.125,261.2015358474278,8000.94,178.32,46577.01,22.29
OUT_01376,Pharmacy,Extra Large,DIST_W_02,1338.4961837190247,2508.643,1170.1468162809754,0.125,257.73417424838823,7939.36,178.16,45918.81,22.44
OUT_07796,Smmt,Extra Large,DIST_W_03,1303.991109832629,2556.391,1252.399890167371,0.125,261.14554020045773,7924.51,176.63,46127.25,22.29
OUT_07225,Kiosk,Extra Large,DIST_W_02,1337.9359882679014,2552.296,1214.3600117320984,0.125,260.86461165339347,7729.89,172.39,44970.81,22.3
OUT_01906,Eatery,Extra Large,DIST_W_01,1322.943429684316,2512.411,1189.467570315684,0.125,259.9877439678965,7711.94,172.29,44792.85,22.34
OUT_07703,Pharmacy,Extra Large,DIST_W_03,1356.0860403111124,2462.817,1106.7309596888877,0.125,256.60964044467767,7674.24,172.6,44291.22,22.49
OUT_02636,Hotel,Extra Large,DIST_W_01,1321.4483818529523,2537.088,1215.639618147048,0.125,261.2870736984568,7668.65,170.88,44649.73,22.28
OUT_05092,Bakery,Extra Large,DIST_W_01,1333.2922725526973,2485.007,1151.7147274473027,0.125,259.56835512311125,7532.04,168.41,43713.58,22.36
OUT_02854,Pharmacy,Extra Large,DIST_W_03,1354.8222466505404,2597.415,1242.5927533494596,0.125,263.1865881691021,7518.12,166.91,43928.22,22.2
OUT_03064,Grocery,Extra Large,DIST_W_02,1332.8295390306687,2512.802,1179.9724609693315,0.125,260.89120191161277,7506.76,167.41,43674.88,22.3
OUT_00025,Grocery,,DIST_W_03,607.2247884984137,1579.624,972.3992115015864,0.0,267.53142484664244,7355.45,167.05,44691.99,22.71
OUT_05938,Pharmacy,Extra Large,DIST_W_01,1346.5166087022708,2573.544,1227.027391297729,0.125,263.8417800755778,7314.14,162.17,42788.26,22.17
OUT_06151,Bakry,Extra Large,DIST_W_03,1338.0687548860844,2486.556,1148.4872451139156,0.125,260.84764988843733,7313.21,163.1,42545.32,22.3
OUT_00006,Kiosk,Medium,DIST_W_02,630.9500585085501,1559.205,928.2549414914498,0.125,249.54357438462586,7290.25,166.34,41509.43,22.82
OUT_03954,Kiosk,Extra Large,DIST_W_03,1324.7019746479946,2539.578,1214.8760253520054,0.125,263.58355549134205,7284.6,161.6,42595.04,22.18
OUT_02475,Eatery,Extra Large,DIST_W_01,1347.3633658876038,2498.64,1151.276634112396,0.125,261.3538528658864,7252.23,161.58,42230.43,22.28
OUT_02351,Eatery,Extra Large,DIST_W_01,1325.687230119727,2466.489,1140.801769880273,0.125,261.5509105651755,7155.82,159.37,41684.35,22.27
OUT_03228,Kiosk,Extra Large,DIST_W_01,1365.050859121259,2397.789,1032.7381408787412,0.125,257.21510513481934,7078.28,159.01,40898.54,22.46
OUT_01557,Pharmacy,Extra Large,DIST_W_03,1316.9275688384705,2481.586,1164.6584311615293,0.125,263.63707807895867,6974.97,154.71,40788.59,22.18
OUT_08840,Pharmacy,Large,DIST_W_03,543.4767734814511,1228.662,685.1852265185489,0.0,245.43952147223314,6929.03,164.57,40392.36,23.75
OUT_07285,Grocery,Extra Large,DIST_W_03,1357.2314736901637,2889.049,1531.8175263098362,0.25,259.1744417464025,6863.45,149.16,38658.3,21.73
OUT_07089,Grocery,Extra Large,DIST_W_03,1319.1018016208905,2577.808,1258.7061983791095,0.125,268.0227471696183,6776.53,149.05,39949.06,22.0
OUT_01514,Hotel,Extra Large,DIST_W_02,1310.362923042032,2445.59,1135.2270769579682,0.125,263.89622054437734,6758.48,149.84,39541.57,22.17
OUT_08231,Hotel,Extra Large,DIST_W_03,1306.8717997061851,2452.18,1145.3082002938147,0.125,265.20180361439117,6613.33,146.25,38785.72,22.11
OUT_03513,Eatery,Large,DIST_W_01,555.2463487673115,1230.503,675.2566512326885,0.0,249.2517482080546,6545.57,154.22,38439.04,23.56
OUT_06103,Hotel,Large,DIST_W_01,545.736432735143,1201.103,655.366567264857,0.0,248.21260284754808,6428.22,151.78,37674.56,23.61
OUT_08158,Bakery,Large,DIST_W_01,546.243590311405,1302.366,756.122409688595,0.125,245.99811956905563,6278.2,144.31,35500.81,22.99
OUT_00044,Grocery,Small,DIST_W_01,630.473301117617,1527.35,896.8766988823829,0.125,256.9861337930001,6174.35,138.76,35660.12,22.47
OUT_06392,Smmt,Extra Large,DIST_W_03,1304.9892056067504,2446.436,1141.4467943932498,0.125,268.3145615652931,6098.82,134.07,35972.94,21.98
OUT_06205,Kiosk,Extra Large,DIST_W_01,1306.9366505194344,2401.029,1094.0923494805656,0.125,266.7940670408366,6077.05,133.98,35745.0,22.05
OUT_05943,Eatery,Large,DIST_W_01,553.7464405032886,1208.415,654.6685594967114,0.125,238.3043562810875,6055.87,141.52,33724.16,23.37
OUT_00996,Hotel,Extra Large,DIST_W_02,1344.962390378768,2734.789,1389.8266096212321,0.25,260.1648868469307,6018.31,130.54,33961.68,21.69
OUT_00052,Pharmacy,Medium,DIST_W_02,583.2598699129672,1717.431,1134.171130087033,0.125,268.62038748618727,6011.54,132.07,35477.92,21.97
OUT_05846,Hotel,Large,DIST_W_02,587.0064073195002,1203.571,616.5645926804997,0.0,248.85349537991257,6003.89,141.57,35231.08,23.58
OUT_03635,Kiosk,Extra Large,DIST_W_01,1355.7406257041137,2932.618,1576.8773742958863,0.25,263.5815549656818,6002.85,129.34,34092.73,21.55
OUT_05259,Hotel,Large,DIST_W_03,535.5696989090911,1129.259,593.6893010909089,0.125,231.74511851946517,5952.64,141.14,32709.49,23.71
OUT_08619,Hotel,Large,DIST_W_03,562.5848849135135,1204.751,642.1661150864865,0.0,253.05279214570785,5950.82,139.1,35200.66,23.37
OUT_02721,Smmt,Extra Large,DIST_W_02,1333.7865906987438,2651.213,1317.4264093012564,0.25,258.98509813200036,5940.62,129.15,33448.44,21.74
OUT_04869,Eatery,Large,DIST_W_02,519.8520278898344,1271.975,752.1229721101655,0.0,265.44752679871686,5879.1,134.06,35586.69,22.8
OUT_00042,Bakry,Medium,DIST_W_02,627.4312480968337,1635.437,1008.0057519031662,0.125,265.20634938792307,5819.88,128.7,34132.58,22.11
OUT_08221,Hotel,Large,DIST_W_03,537.4318474115547,1148.488,611.0561525884453,0.0,250.7941297353518,5818.09,136.64,34267.93,23.49
OUT_04701,Grocery,Large,DIST_W_03,508.9740133429968,1182.732,673.7579866570031,0.0,260.3984915006816,5671.76,130.63,34014.78,23.03
OUT_06304,Bakery,Extra Large,DIST_W_03,1346.2107140465557,2496.838,1150.6272859534445,0.25,256.2944137625247,5654.3,123.58,31673.48,21.86
OUT_04644,Smmt,Large,DIST_W_01,535.2620756616463,1261.872,726.6099243383537,0.0,265.7546740030245,5652.75,128.82,34235.71,22.79
OUT_00823,Eatery,Large,DIST_W_01,548.1004468721752,1144.714,596.6135531278247,0.0,251.59549916527035,5626.9,131.93,33192.52,23.45
OUT_03876,Pharmacy,Large,DIST_W_01,561.0579447939932,1260.484,699.4260552060067,0.125,248.30287361413696,5603.74,128.19,31829.96,22.88
OUT_00221,Pharmacy,Large,DIST_W_03,549.2875162024537,1181.588,632.3004837975462,0.125,241.53087160763417,5600.81,129.97,31392.14,23.21
OUT_01621,Kiosk,Large,DIST_W_03,518.3509856122934,1206.997,688.6460143877067,0.0,262.87446153490447,5595.24,128.23,33709.42,22.92
OUT_04640,Kiosk,Extra Large,DIST_W_03,1339.5096859643338,2574.89,1235.380314035666,0.25,259.0083773277652,5566.3,121.01,31342.23,21.74
OUT_00056,Kiosk,Small,DIST_W_02,618.9043119769884,1674.089,1055.1846880230114,0.25,253.9858228557493,5547.79,121.82,30939.35,21.96
OUT_00402,Kiosk,Large,DIST_W_01,506.4467615185723,1107.17,600.7232384814278,0.0,253.3466615491179,5546.75,129.58,32828.73,23.36
OUT_05604,Kiosk,Large,DIST_W_01,500.5459447399722,1228.452,727.9060552600279,0.0,267.13182988735525,5541.42,125.95,33645.53,22.73
OUT_07832,Eatery,Large,DIST_W_03,566.9315573990605,1188.591,621.6594426009394,0.125,241.4119427809316,5515.63,128.03,30907.35,23.21
OUT_07639,Eatery,Extra Large,DIST_W_02,1322.9504713200422,2637.794,1314.8435286799577,0.25,261.11523230164687,5503.17,119.14,31110.44,21.65
OUT_00684,Kiosk,Extra Large,DIST_W_03,1319.6221316619328,2582.198,1262.575868338067,0.25,260.008876950181,5497.23,119.27,31012.06,21.7
OUT_05947,Hotel,Extra Large,DIST_W_01,1316.8211933267244,2555.876,1239.0548066732758,0.25,259.4834614906256,5493.67,119.32,30961.15,21.72
OUT_02267,Smmt,Large,DIST_W_01,518.4625123721939,1260.252,741.789487627806,0.0,269.0709379618258,5471.56,123.9,33337.99,22.64
OUT_06041,Bakery,Large,DIST_W_02,538.1716651573084,1186.308,648.1363348426916,0.0,260.3401990484082,5460.52,125.78,32744.39,23.03
OUT_03814,Smmt,Extra Large,DIST_W_02,1337.6381261945946,2561.385,1223.7468738054056,0.25,259.3394374199572,5452.52,118.46,30720.85,21.73
OUT_06033,Eatery,Extra Large,DIST_W_01,1368.236753484983,2628.98,1260.743246515017,0.25,260.25273121379405,5442.5,118.03,30717.43,21.69
OUT_07408,Pharmacy,Extra Large,DIST_W_01,1315.7431080960305,2819.095,1503.3518919039693,0.25,264.8608950275458,5425.39,116.61,30886.73,21.49
OUT_03786,Smmt,Extra Large,DIST_W_03,1342.3413046798644,2857.963,1515.6216953201358,0.25,265.0881800540538,5416.21,116.37,30847.51,21.49
OUT_05626,Grocery,Large,DIST_W_02,589.802102076932,1278.147,688.344897923068,0.125,249.54437449834256,5405.99,123.35,30780.85,22.82
OUT_01146,Grocery,Extra Large,DIST_W_03,1323.7289005226858,2569.492,1245.7630994773144,0.25,260.1865897606858,5390.37,116.91,30419.4,21.69
OUT_07519,Bakery,Extra Large,DIST_W_02,1367.4763118804426,2686.717,1319.2406881195575,0.25,261.82301677627873,5378.76,116.29,30447.66,21.62
OUT_03622,Eatery,Large,DIST_W_03,548.91052172242,1148.885,599.97447827758,0.125,240.73231776192546,5373.14,124.9,30068.13,23.25
OUT_06210,Hotel,Extra Large,DIST_W_03,1337.5283752264706,2655.1,1317.5716247735293,0.25,261.8649571778558,5363.49,115.95,30363.61,21.62
OUT_06417,Kiosk,Extra Large,DIST_W_01,1320.5054670951583,2501.25,1180.7445329048417,0.25,258.93686568193243,5332.9,115.95,30023.97,21.74
OUT_04798,Smmt,Large,DIST_W_01,540.803307301498,1194.892,654.0886926985021,0.0,262.8497871407704,5316.38,121.85,32027.95,22.92
OUT_06725,Eatery,Large,DIST_W_01,510.7399516928394,1232.234,721.4940483071605,0.25,239.2550532597585,5313.81,120.31,28784.1,22.64
OUT_03910,Bakery,Large,DIST_W_01,528.8544609702385,1190.551,661.6965390297614,0.125,248.25246964053724,5305.69,121.38,30134.06,22.88
OUT_06415,Hotel,Medium,DIST_W_02,155.56357689974905,809.743,654.179423100251,0.5,210.42524039448938,5302.96,121.5,25566.18,22.91
OUT_00755,Eatery,Large,DIST_W_01,508.54633066053304,1142.572,634.0256693394668,0.0,260.8958302962449,5300.14,121.95,31815.35,23.01
OUT_06410,Pharmacy,Extra Large,DIST_W_03,1337.5462811558577,2532.586,1195.039718844142,0.25,259.6236719429529,5273.1,114.5,29725.94,21.71
OUT_05407,Pharmacy,Large,DIST_W_02,517.5334649633426,1227.181,709.6475350366575,0.0,268.7534616974543,5262.08,119.23,32043.26,22.66
OUT_04261,Grocery,Large,DIST_W_02,550.0444422091288,1245.859,695.8145577908712,0.125,251.82110732446995,5260.89,119.48,30086.58,22.71
OUT_07980,Eatery,Extra Large,DIST_W_03,1329.149174747794,2533.395,1204.245825252206,0.25,260.0493267471958,5235.86,113.59,29539.81,21.69
OUT_08442,Pharmacy,Extra Large,DIST_W_01,1332.11528192262,2560.649,1228.53371807738,0.25,260.8197774832087,5197.32,112.59,29365.09,21.66
OUT_08695,Hotel,Large,DIST_W_03,566.095407510425,1159.544,593.448592489575,0.125,242.51134659735123,5185.09,120.07,29118.71,23.16
OUT_01108,Kiosk,Extra Large,DIST_W_02,1335.0203001980494,2468.65,1133.6296998019507,0.25,258.5881789224934,5179.87,112.7,29143.1,21.76
OUT_05231,Bakery,Large,DIST_W_02,528.3204764611061,1245.914,717.5935235388939,0.125,254.57589597965745,5168.13,116.71,29712.43,22.58
OUT_05838,Eatery,Extra Large,DIST_W_02,1345.787162667015,2560.531,1214.7438373329849,0.25,260.773112713408,5147.63,111.52,29081.76,21.66
OUT_06940,Bakry,Extra Large,DIST_W_02,1316.4866836108351,2624.804,1308.317316389165,0.25,262.7964352481254,5138.74,110.89,29142.22,21.58
OUT_06830,Grocery,Large,DIST_W_02,571.2936297830968,1268.133,696.8393702169033,0.125,253.36160972233426,5129.26,116.12,29420.62,22.64
OUT_04676,Kiosk,Large,DIST_W_01,590.6352930307428,1208.27,617.6347069692572,0.125,246.75593026813644,5069.4,116.34,28708.1,22.95
OUT_03065,Pharmacy,Extra Large,DIST_W_01,1315.6794145132526,2590.604,1274.9245854867472,0.25,262.4828498594151,5069.04,109.45,28730.0,21.59
OUT_06358,Grocery,Extra Large,DIST_W_03,1333.4443522496144,2515.538,1182.0936477503856,0.25,260.59995462089904,5040.48,109.24,28467.07,21.67
OUT_06232,Hotel,Large,DIST_W_03,499.46985339681686,1141.574,642.1041466031832,0.125,249.81441549796767,5020.64,114.49,28601.69,22.8
OUT_08759,Kiosk,Large,DIST_W_03,573.5050448098932,1219.304,645.7989551901069,0.125,250.30554525327184,5008.86,114.11,28561.69,22.78
OUT_00466,Eatery,Large,DIST_W_03,557.2656036851638,1235.065,677.7993963148363,0.25,239.16858516268599,5000.08,113.23,27079.94,22.65
OUT_08841,Kiosk,Large,DIST_W_01,564.8379368577088,1233.783,668.9450631422911,0.125,252.688530726065,4982.52,112.95,28542.12,22.67
OUT_04594,Pharmacy,Large,DIST_W_03,549.129680941154,1260.948,711.8183190588461,0.125,256.133469377785,4980.67,112.13,28719.57,22.51
OUT_03328,Eatery,Large,DIST_W_03,512.3009044403531,1170.619,658.3180955596468,0.0,267.64719397324245,4970.39,112.86,30206.6,22.71
OUT_04026,Kiosk,Large,DIST_W_03,583.1324317634258,1258.617,675.4845682365742,0.125,253.49396010647237,4960.42,112.27,28459.38,22.63
OUT_01878,Hotel,Large,DIST_W_03,513.8172505822772,1217.68,703.8627494177229,0.0,271.75565437620014,4958.75,111.72,30359.34,22.53
OUT_05485,Smmt,Extra Large,DIST_W_03,1322.3497666301969,2531.289,1208.9392333698033,0.25,261.704913592438,4950.91,107.07,28019.49,21.63
OUT_07443,Hotel,Large,DIST_W_02,540.5890299125272,1167.861,627.2719700874729,0.125,249.47936365863984,4931.57,112.54,28076.0,22.82
OUT_02471,Bakery,Extra Large,DIST_W_01,1342.941986177543,2422.114,1079.172013822457,0.25,258.6306493304889,4924.11,107.13,27706.39,21.76
OUT_01061,Grocery,Extra Large,DIST_W_02,1312.7148587718918,2502.438,1189.7231412281083,0.25,261.4275426616676,4922.7,106.51,27845.34,21.64
OUT_01903,Smmt,Extra Large,DIST_W_03,1364.2422960906274,2609.89,1245.6477039093725,0.25,262.64167599212965,4922.23,106.25,27906.27,21.59
OUT_03556,Hotel,Extra Large,DIST_W_03,1294.7244370883716,2525.302,1230.5775629116285,0.25,262.34196337921117,4919.34,106.25,27874.17,21.6
OUT_08432,Smmt,Extra Large,DIST_W_01,1319.260155135881,2571.723,1252.462844864119,0.25,262.82424886939793,4914.0,106.04,27869.15,21.58
OUT_03680,Bakery,Extra Large,DIST_W_02,1321.4778804063674,2552.672,1231.1941195936326,0.25,262.48847221962893,4894.1,105.68,27738.81,21.59
OUT_07259,Grocery,Large,DIST_W_01,532.3381694512905,1132.917,600.5788305487094,0.0,262.81743390545927,4883.77,111.94,29419.99,22.92
OUT_03701,Hotel,Large,DIST_W_03,562.3868400956527,1269.36,706.9731599043472,0.125,256.87532399412146,4877.38,109.64,28163.56,22.48
OUT_05366,Smmt,Extra Large,DIST_W_01,1342.5662630772167,2519.443,1176.8767369227835,0.25,261.4850062188028,4859.21,105.13,27489.14,21.64
OUT_07591,Kiosk,Large,DIST_W_02,581.5640141759342,1244.897,663.3329858240658,0.125,253.6465715330308,4857.97,109.92,27879.78,22.63
OUT_02034,Grocery,Extra Large,DIST_W_01,1327.5185106003958,2494.803,1167.2844893996041,0.25,261.3228192702261,4848.55,104.93,27420.48,21.64
OUT_04979,Hotel,Extra Large,DIST_W_01,1327.9505774078427,2568.307,1240.356422592157,0.25,262.96074136038635,4840.45,104.42,27459.05,21.57
OUT_06119,Grocery,Extra Large,DIST_W_03,1311.5167278310005,2526.372,1214.8552721689994,0.25,262.568179228148,4814.28,103.94,27290.46,21.59
OUT_08298,Kiosk,Extra Large,DIST_W_02,1331.93378922106,2542.535,1210.60121077894,0.25,262.50510667949584,4809.15,103.84,27258.17,21.59
OUT_08805,Grocery,Extra Large,DIST_W_01,1333.282815005503,2521.734,1188.451184994497,0.25,262.04220728111534,4805.59,103.85,27214.31,21.61
OUT_02310,Kiosk,Large,DIST_W_02,495.7621021627159,1166.745,670.982897837284,0.0,271.093175158988,4782.18,107.87,29243.65,22.56
OUT_07391,Hotel,Extra Large,DIST_W_02,1329.5610226714587,2504.156,1174.5949773285413,0.25,261.8825140327387,4778.31,103.3,27051.7,21.62
OUT_07765,Eatery,Extra Large,DIST_W_01,1337.2419494162425,2545.966,1208.7240505837574,0.25,262.63654175627926,4777.28,103.12,27084.22,21.59
OUT_08218,Eatery,Extra Large,DIST_W_03,1320.3207574746318,2678.682,1358.361242525368,0.25,265.4646481744187,4774.76,102.51,27213.26,21.47
OUT_00886,Kiosk,Extra Large,DIST_W_01,1292.585654787662,2472.471,1179.885345212338,0.25,262.0244357169586,4774.16,103.18,27035.46,21.61
OUT_05657,Smmt,Large,DIST_W_01,515.1493153396736,1287.596,772.4466846603264,0.125,262.28947499213075,4767.9,106.04,27812.35,22.24
OUT_07307,Eatery,Large,DIST_W_01,517.1231563912404,1236.603,719.4798436087597,0.125,258.99305193116385,4760.75,106.57,27600.1,22.39
OUT_08642,Grocery,Large,DIST_W_02,557.1205253214143,1298.867,741.7464746785856,0.125,260.49334112723864,4758.65,106.2,27665.6,22.32
OUT_00054,Grocery,Small,DIST_W_02,704.9637070943013,1824.228,1119.2642929056988,0.25,260.68189551296933,4758.59,103.11,26879.23,21.67
OUT_03493,Kiosk,Extra Large,DIST_W_01,1315.3399060323666,2540.479,1225.1390939676332,0.25,263.1409061446917,4747.08,102.37,26938.47,21.56
OUT_06718,Eatery,Large,DIST_W_01,535.6574092696943,1236.596,700.9385907303057,0.125,258.33189561874593,4699.99,105.34,27213.97,22.41
OUT_02783,Grocery,Extra Large,DIST_W_01,1332.1786490909315,2537.457,1205.2783509090684,0.25,263.0886245644305,4679.83,100.93,26554.24,21.57
OUT_01440,Hotel,Extra Large,DIST_W_01,1345.5605618653149,2517.912,1172.351438134685,0.25,262.3852473182226,4678.78,101.05,26513.28,21.6
OUT_02962,Eatery,Extra Large,DIST_W_03,1349.0327082686058,3004.816,1655.783291731394,0.375,255.676948288794,4672.8,99.49,25437.0,21.29
OUT_00047,Grocery,Small,DIST_W_03,647.6627665229903,1769.797,1122.1342334770097,0.25,261.3098389926649,4663.23,100.92,26371.81,21.64
OUT_02044,Hotel,Large,DIST_W_03,517.0949583922516,1184.855,667.7600416077485,0.25,242.0362800354974,4660.01,104.88,25384.56,22.51
OUT_08331,Hotel,Large,DIST_W_02,544.7647379991191,1157.664,612.8992620008809,0.125,251.67183448088278,4645.81,105.54,26561.4,22.72
OUT_00687,Smmt,Large,DIST_W_02,530.9255021622422,1137.835,606.9094978377578,0.0,266.88807752873385,4638.26,105.47,28149.41,22.74
OUT_04161,Hotel,Extra Large,DIST_W_02,1321.7027631428784,2544.329,1222.6262368571217,0.25,263.75508553603566,4621.54,99.55,26256.19,21.54
OUT_02865,Kiosk,Extra Large,DIST_W_01,1324.1846471517877,2530.807,1206.6223528482121,0.25,263.43329895493065,4620.96,99.6,26237.12,21.55
OUT_07685,Bakery,Large,DIST_W_01,592.1935794458138,1290.38,698.1864205541863,0.25,244.98892924367902,4581.79,102.48,25106.07,22.37
OUT_05493,Pharmacy,Large,DIST_W_01,541.8922292797433,1278.146,736.2537707202566,0.125,262.0322855062145,4570.21,101.69,26646.41,22.25
OUT_07276,Pharmacy,Extra Large,DIST_W_02,1308.0592052997342,2491.497,1183.4377947002656,0.25,263.24612629821405,4566.32,98.45,25917.78,21.56
OUT_04250,Grocery,Large,DIST_W_02,537.245312648776,1228.533,691.2876873512239,0.125,259.13374057336205,4561.19,102.07,26450.12,22.38
OUT_01410,Grocery,Large,DIST_W_01,581.5725459399627,1271.139,689.5664540600372,0.125,259.0819473349777,4554.61,101.93,26409.42,22.38
OUT_03724,Kiosk,Extra Large,DIST_W_03,1313.7344153994077,2478.677,1164.9425846005925,0.25,263.0347830816335,4532.88,97.77,25717.78,21.57
OUT_04233,Grocery,Large,DIST_W_02,521.5982546134741,1119.81,598.2117453865259,0.125,251.75495003530241,4528.05,102.85,25892.28,22.71
OUT_07688,Hotel,Extra Large,DIST_W_03,1329.8187499067212,2477.203,1147.3842500932788,0.25,262.73369418006183,4517.71,97.5,25617.27,21.58
OUT_05592,Bakery,Extra Large,DIST_W_01,1360.5573811053148,2465.48,1104.9226188946852,0.25,261.9707998436808,4479.93,96.83,25366.68,21.61
OUT_03653,Hotel,Extra Large,DIST_W_01,1337.5056772281575,2588.875,1251.3693227718425,0.25,265.123629368146,4464.99,95.92,25431.62,21.48
OUT_02431,Smmt,Extra Large,DIST_W_03,1330.9834605511169,2389.517,1058.533539448883,0.25,261.0164660731187,4446.37,96.28,25131.47,21.65
OUT_08045,Smmt,Extra Large,DIST_W_01,1317.3350104255817,2488.705,1171.3699895744182,0.25,263.7092094462406,4436.09,95.56,25200.43,21.54
OUT_08884,Smmt,Large,DIST_W_03,545.5889718492982,1109.742,564.1530281507017,0.125,249.79539909699042,4412.51,100.63,25136.36,22.81
OUT_00049,Hotel,small,DIST_W_01,692.6301247928902,1744.905,1052.2748752071097,0.375,247.43261750137344,4393.98,95.12,23535.44,21.65
OUT_05699,Pharmacy,Extra Large,DIST_W_03,1319.5738104385732,2528.636,1209.0621895614267,0.25,264.911249381162,4353.89,93.57,24789.03,21.49
OUT_06026,Eatery,Large,DIST_W_03,567.6176864688885,1259.792,692.1743135311115,0.125,261.45072187485346,4351.14,96.93,25341.67,22.28
OUT_06860,Eatery,Large,DIST_W_02,521.3430827478529,1180.852,659.5089172521472,0.25,245.00131441417136,4326.82,96.77,23709.49,22.37
OUT_06764,Kiosk,Large,DIST_W_03,535.4314393112675,1278.402,742.9705606887326,0.125,264.88560731864027,4322.42,95.65,25335.29,22.13
OUT_08721,Bakery,Large,DIST_W_02,560.096735946519,1108.134,548.0372640534811,0.125,249.43377198000863,4311.82,98.41,24545.56,22.82
OUT_03484,Bakry,Extra Large,DIST_W_03,1294.5815949224589,2699.112,1404.5304050775412,0.25,268.34905160009214,4303.35,91.89,24657.75,21.35
OUT_03533,Hotel,Large,DIST_W_03,510.94218329135674,1221.423,710.4808167086433,0.125,263.1659870817116,4300.66,95.48,25127.67,22.2
OUT_02760,Eatery,Large,DIST_W_02,577.4273296405153,1280.415,702.9876703594847,0.25,248.11705213547003,4298.76,95.52,23701.27,22.22
OUT_07321,Eatery,Extra Large,DIST_W_03,1331.6869395440083,2390.795,1059.1080604559918,0.25,261.9797176217187,4292.72,92.78,24307.09,21.61
