Outlet_ID,Trade_Spend_Allocation_LKR
OUT_04676,5069.4
OUT_03065,5069.04
OUT_06358,5040.48
OUT_06232,5020.64
OUT_08759,5008.86
OUT_00466,5000.08
OUT_08841,4982.52
OUT_04594,4980.67
OUT_03328,4970.39
OUT_04026,4960.42
OUT_01878,4958.75
OUT_05485,4950.91
OUT_07443,4931.57
OUT_02471,4924.11
OUT_01061,4922.7
OUT_01903,4922.23
OUT_03556,4919.34
OUT_08432,4914.0
OUT_03680,4894.1
OUT_07259,4883.77
OUT_03701,4877.38
OUT_05366,4859.21
OUT_07591,4857.97
OUT_02034,4848.55
OUT_04979,4840.45
OUT_06119,4814.28
OUT_08298,4809.15
OUT_08805,4805.59
OUT_02310,4782.18
OUT_07391,4778.31
OUT_07765,4777.28
OUT_08218,4774.76
OUT_00886,4774.16
OUT_05657,4767.9
OUT_07307,4760.75
OUT_08642,4758.65
OUT_00054,4758.59
OUT_03493,4747.08
OUT_06718,4699.99
OUT_02783,4679.83
OUT_01440,4678.78
OUT_02962,4672.8
OUT_00047,4663.23
OUT_02044,4660.01
OUT_08331,4645.81
OUT_00687,4638.26
OUT_04161,4621.54
OUT_02865,4620.96
OUT_07685,4581.79
OUT_05493,4570.21
OUT_07276,4566.32
OUT_04250,4561.19
OUT_01410,4554.61
OUT_03724,4532.88
OUT_04233,4528.05
OUT_07688,4517.71
OUT_05592,4479.93
OUT_03653,4464.99
OUT_02431,4446.37
OUT_08045,4436.09
OUT_08884,4412.51
OUT_00049,4393.98
OUT_05699,4353.89
OUT_06026,4351.14
OUT_06860,4326.82
OUT_06764,4322.42
OUT_08721,4311.82
OUT_03484,4303.35
OUT_03533,4300.66
OUT_02760,4298.76
OUT_07321,4292.72
OUT_04108,4278.6
OUT_03283,4250.79
OUT_06763,4246.14
OUT_04471,4240.91
OUT_07949,4218.82
OUT_06881,4216.83
OUT_06049,4208.21
OUT_00233,4200.51
OUT_05046,4191.89
OUT_03346,4171.92
OUT_04349,4167.71
OUT_00577,4155.12
OUT_06599,4153.18
OUT_08853,4134.74
OUT_08564,4131.9
OUT_04971,4117.3
OUT_02941,4107.83
OUT_02201,4107.44
OUT_08630,4098.97
OUT_00792,4089.39
OUT_02136,4065.57
OUT_01472,4060.91
OUT_08330,4056.55
OUT_05162,4010.04
OUT_00090,4004.7
OUT_03551,4003.27
OUT_05426,3998.18
OUT_04382,3996.27
OUT_08704,3981.25
OUT_07633,3977.41
OUT_00581,3959.91
OUT_07108,3956.73
OUT_07746,3947.48
OUT_03418,3939.57
OUT_01982,3931.42
OUT_00118,3927.49
OUT_00182,3926.47
OUT_04569,3925.01
OUT_04356,3897.01
OUT_07124,3890.71
OUT_00717,3885.51
OUT_08871,3875.79
OUT_07908,3869.19
OUT_07101,3868.25
OUT_02641,3835.43
OUT_00591,3832.48
OUT_01362,3821.48
OUT_05453,3817.1
OUT_01736,3813.06
OUT_03088,3811.04
OUT_03890,3799.46
OUT_04282,3795.8
OUT_07742,3780.76
OUT_04612,3773.92
OUT_08789,3771.64
OUT_04898,3769.93
OUT_08606,3761.12
OUT_00087,3757.15
OUT_04226,3747.69
OUT_02242,3743.79
OUT_00799,3730.55
OUT_08776,3728.07
OUT_00339,3725.23
OUT_06655,3719.33
OUT_00686,3694.58
OUT_04925,3654.29
OUT_04439,3652.78
OUT_07183,3641.17
OUT_02205,3601.66
OUT_08029,3600.79
OUT_03831,3600.63
OUT_08947,3595.28
OUT_07331,3583.19
OUT_06182,3575.34
OUT_06255,3570.02
OUT_08128,3556.04
OUT_04189,3551.26
OUT_01834,3537.71
OUT_03446,3536.77
OUT_07121,3529.18
OUT_02301,3524.84
OUT_08452,3502.31
OUT_03134,3488.99
OUT_03791,3487.02
OUT_06938,3479.15
OUT_04598,3472.49
OUT_00372,3465.9
OUT_07617,3455.05
OUT_00123,3451.63
OUT_03772,3447.6
OUT_03850,3435.72
OUT_07991,3425.14
OUT_00573,3417.82
OUT_01090,3412.07
OUT_05451,3399.09
OUT_02085,3385.23
OUT_00226,3379.57
OUT_04615,3373.3
OUT_04651,3365.36
OUT_03988,3358.4
OUT_08986,3357.72
OUT_07093,3346.89
OUT_05333,3343.44
OUT_04422,3342.41
OUT_06013,3338.22
OUT_00117,3335.71
OUT_03333,3313.82
OUT_00998,3310.58
OUT_05302,3307.23
OUT_05142,3305.28
OUT_01679,3301.98
OUT_00580,3295.63
OUT_00223,3292.3
OUT_06086,3289.75
OUT_04953,3288.35
OUT_02387,3287.7
OUT_07057,3286.24
OUT_04913,3283.04
OUT_08756,3280.13
OUT_08114,3276.84
OUT_07056,3271.2
OUT_00219,3264.69
OUT_01891,3258.96
OUT_03251,3252.94
OUT_00152,3246.48
OUT_05418,3242.22
OUT_07677,3241.75
OUT_01409,3239.47
OUT_06879,3239.13
OUT_07472,3235.87
OUT_06203,3230.37
OUT_05358,3225.97
OUT_06535,3218.14
OUT_01391,3208.86
OUT_08886,3202.93
OUT_08243,3201.79
OUT_03842,3191.86
OUT_00856,3178.71
OUT_04194,3178.1
OUT_06574,3169.2
OUT_01851,3154.62
OUT_08015,3143.41
OUT_05508,3138.61
OUT_04571,3138.49
OUT_06375,3132.99
OUT_08400,3119.59
OUT_05971,3118.05
OUT_06404,3114.91
OUT_06677,3089.44
OUT_02582,3084.21
OUT_05357,3082.41
OUT_07065,3078.51
OUT_04232,3074.18
OUT_01500,3051.37
OUT_01996,3045.73
OUT_00116,3044.7
OUT_01593,3041.17
OUT_00013,3037.33
OUT_05870,3034.44
OUT_00146,3033.67
OUT_02068,3033.49
OUT_02664,3032.38
OUT_01481,3030.56
OUT_05670,3027.24
OUT_04667,3026.66
OUT_01907,3023.67
OUT_06088,3010.67
OUT_00237,2997.89
OUT_03148,2993.25
OUT_08187,2991.6
OUT_00353,2982.3
OUT_05325,2980.67
OUT_06698,2978.3
OUT_07386,2972.66
OUT_00312,2969.06
OUT_03905,2964.9
OUT_00525,2961.21
OUT_00626,2955.66
OUT_06370,2955.65
OUT_00079,2949.1
OUT_01549,2946.85
OUT_00102,2945.77
OUT_05115,2922.9
OUT_07008,2914.17
OUT_05890,2907.31
OUT_01804,2897.74
OUT_06087,2894.88
OUT_00463,2883.61
OUT_07380,2880.29
OUT_00674,2875.56
OUT_04293,2871.25
OUT_00020,2868.88
OUT_00004,2868.4
OUT_04438,2861.46
OUT_05186,2861.32
OUT_00677,2859.5
OUT_02755,2858.65
OUT_00015,2856.97
OUT_05377,2854.56
OUT_05185,2850.56
OUT_01641,2847.84
OUT_07486,2847.77
OUT_01899,2838.88
OUT_02858,2836.48
OUT_04090,2835.19
OUT_07750,2835.11
OUT_04330,2829.47
OUT_08455,2828.12
OUT_02257,2827.83
OUT_04678,2818.23
OUT_03233,2812.78
OUT_00629,2805.35
OUT_02806,2801.59
OUT_02358,2790.0
OUT_01238,2781.03
OUT_06985,2772.38
OUT_02896,2771.8
OUT_02596,2770.4
OUT_08723,2767.0
OUT_08307,2763.18
OUT_08348,2748.74
OUT_00027,2746.94
OUT_01546,2744.48
OUT_08083,2735.58
OUT_06246,2734.94
OUT_07135,2732.41
OUT_06072,2729.65
OUT_08673,2711.44
OUT_07390,2711.26
OUT_05494,2708.12
OUT_08190,2707.89
OUT_00136,2707.38
OUT_04641,2706.44
OUT_02176,2704.05
OUT_05777,2703.23
OUT_02135,2695.5
OUT_06016,2694.15
OUT_02444,2692.69
OUT_00261,2685.42
OUT_00039,2679.41
OUT_00066,2678.08
OUT_07148,2674.26
OUT_04393,2671.83
OUT_00155,2666.47
OUT_00207,2656.41
OUT_05470,2645.27
OUT_00024,2635.45
OUT_07155,2632.02
OUT_01666,2627.34
OUT_03932,2623.5
OUT_05716,2622.86
OUT_03388,2620.03
OUT_05565,2617.6
OUT_00621,2614.87
OUT_03260,2614.74
OUT_03467,2609.43
OUT_00322,2593.65
OUT_02401,2593.5
OUT_00392,2589.14
OUT_06361,2587.28
OUT_01545,2585.48
OUT_00077,2583.39
OUT_08524,2582.04
OUT_00130,2581.41
OUT_06882,2579.82
OUT_07388,2575.73
OUT_00635,2569.35
OUT_03400,2566.54
OUT_04021,2565.19
OUT_07428,2562.54
OUT_01775,2562.23
OUT_01485,2557.66
OUT_03013,2551.95
OUT_08883,2550.63
OUT_00131,2547.18
OUT_03902,2546.96
OUT_05255,2546.01
OUT_01782,2545.04
OUT_08850,2544.39
OUT_02964,2541.44
OUT_07214,2536.4
OUT_03911,2536.25
OUT_00161,2533.87
OUT_08631,2533.63
OUT_03350,2529.13
OUT_01999,2529.03
OUT_02207,2527.11
OUT_08001,2526.61
OUT_00644,2523.74
OUT_04912,2521.06
OUT_00906,2520.19
OUT_05511,2516.85
OUT_00245,2515.26
OUT_01102,2514.23
OUT_02030,2514.05
OUT_00196,2508.53
OUT_07274,2501.86
OUT_01767,2500.51
OUT_00311,2497.53
OUT_01408,2488.72
OUT_03330,2481.91
OUT_00065,2479.22
OUT_00021,2475.29
OUT_05175,2470.81
OUT_00625,2462.48
OUT_02386,2460.36
OUT_04952,2459.79
OUT_00290,2456.49
OUT_06849,2448.02
OUT_08402,2438.16
OUT_05026,2435.02
OUT_00489,2434.29
OUT_00334,2433.95
OUT_03916,2430.68
OUT_08100,2427.03
OUT_02616,2425.09
OUT_02566,2424.48
OUT_00220,2422.39
OUT_08827,2418.91
OUT_05442,2418.73
OUT_01107,2415.26
OUT_01665,2410.57
OUT_06699,2408.48
OUT_03963,2379.32
OUT_05495,2377.11
OUT_08658,2375.39
OUT_01506,2372.2
OUT_01760,2370.77
OUT_03089,2355.36
OUT_05287,2352.81
OUT_00085,2347.55
OUT_02703,2344.07
OUT_00327,2343.9
OUT_07715,2343.03
OUT_07413,2340.04
OUT_01877,2326.53
OUT_00007,2318.91
OUT_04155,2313.78
OUT_00023,2312.07
OUT_05282,2311.7
OUT_05281,2309.67
OUT_04199,2308.01
OUT_05478,2304.25
OUT_07272,2298.76
OUT_00187,2296.58
OUT_04609,2291.64
OUT_07941,2289.34
OUT_03340,2286.98
OUT_05122,2286.46
OUT_00014,2281.33
OUT_04859,2280.99
OUT_08708,2278.73
OUT_04450,2276.53
OUT_03519,2276.44
OUT_07068,2276.15
OUT_04879,2273.95
OUT_05884,2273.61
OUT_03387,2273.1
OUT_08125,2269.13
OUT_07522,2268.21
OUT_00530,2258.17
OUT_08030,2256.62
OUT_07795,2254.65
OUT_08785,2249.6
OUT_02179,2249.09
OUT_00594,2246.35
OUT_04027,2243.66
OUT_06587,2242.76
OUT_06660,2240.72
OUT_06052,2238.86
OUT_05847,2231.66
OUT_02349,2230.83
OUT_06044,2228.04
OUT_08257,2227.8
OUT_00930,2222.91
OUT_00298,2222.83
OUT_03206,2217.07
OUT_08437,2216.5
OUT_07081,2214.04
OUT_00620,2208.19
OUT_00214,2208.06
OUT_05107,2207.78
OUT_03591,2203.71
OUT_00185,2199.69
OUT_06124,2192.59
OUT_06326,2191.25
OUT_01332,2191.02
OUT_08261,2190.79
OUT_08446,2190.53
OUT_07629,2186.76
OUT_00990,2186.42
OUT_07557,2185.85
OUT_05598,2184.66
OUT_08694,2184.19
OUT_02970,2182.87
OUT_00104,2181.34
OUT_02343,2171.78
OUT_01263,2171.02
OUT_08097,2169.87
OUT_01233,2169.32
OUT_04811,2166.65
OUT_04286,2165.36
OUT_02347,2158.99
OUT_08329,2151.62
OUT_00307,2150.08
OUT_04679,2148.45
OUT_07498,2146.24
OUT_00293,2145.45
OUT_07085,2142.76
OUT_04830,2141.25
OUT_03885,2138.46
OUT_01554,2136.36
OUT_02029,2133.0
OUT_00565,2130.76
OUT_05059,2130.1
OUT_08555,2127.01
OUT_01445,2124.46
OUT_01939,2120.59
OUT_04963,2118.53
OUT_07609,2110.31
OUT_02185,2107.99
OUT_07574,2104.32
OUT_07469,2101.65
OUT_00283,2097.96
OUT_04772,2097.15
OUT_06749,2096.03
OUT_07322,2094.47
OUT_06279,2091.79
OUT_00191,2085.15
OUT_01012,2083.67
OUT_01375,2080.36
OUT_03529,2080.12
OUT_06559,2077.59
OUT_03571,2077.22
OUT_03061,2076.61
OUT_05064,2072.73
OUT_00186,2070.08
OUT_05256,2069.38
OUT_03349,2063.58
OUT_03773,2063.18
OUT_00933,2060.27
OUT_03227,2059.11
OUT_06615,2056.16
OUT_03199,2054.6
OUT_08831,2052.46
OUT_07490,2051.78
OUT_00306,2050.3
OUT_03549,2049.83
OUT_07156,2048.39
OUT_05740,2047.72
OUT_03770,2046.88
OUT_03341,2045.93
OUT_01018,2042.26
OUT_07045,2041.19
OUT_07489,2039.97
OUT_02576,2034.02
OUT_04165,2032.21
OUT_06695,2031.29
OUT_08008,2029.81
OUT_08700,2029.35
OUT_04063,2029.11
OUT_02058,2026.09
OUT_02114,2024.76
OUT_03993,2020.68
OUT_08907,2019.78
OUT_01730,2017.62
OUT_07598,2016.64
OUT_08549,2015.9
OUT_00745,2010.29
OUT_06617,2005.72
OUT_04254,2001.36
OUT_05007,1997.46
OUT_08102,1992.91
OUT_08143,1992.71
OUT_05396,1991.08
OUT_08929,1990.3
OUT_08436,1986.8
OUT_00633,1981.24
OUT_07515,1981.18
OUT_03953,1981.17
OUT_06608,1980.42
OUT_01954,1977.94
OUT_08286,1975.34
OUT_00891,1969.33
OUT_02025,1969.12
OUT_06186,1968.76
OUT_03335,1968.43
OUT_08935,1968.07
OUT_01288,1966.13
OUT_07772,1965.18
OUT_02298,1963.98
OUT_05538,1962.1
OUT_08127,1961.86
OUT_01111,1961.36
OUT_08844,1960.96
OUT_05509,1956.6
OUT_05094,1955.08
OUT_07930,1950.88
OUT_01211,1949.62
OUT_07227,1948.0
OUT_08346,1942.97
OUT_01374,1940.77
OUT_05351,1940.75
OUT_08216,1939.38
OUT_00398,1934.89
OUT_01879,1934.18
OUT_03531,1934.04
OUT_00853,1933.58
OUT_05960,1932.76
OUT_04544,1930.89
OUT_04270,1930.83
OUT_05682,1930.55
OUT_06217,1928.51
OUT_03085,1926.43
OUT_03616,1923.21
OUT_00663,1923.1
OUT_03503,1922.45
OUT_08801,1918.69
OUT_08717,1910.05
OUT_05916,1909.86
OUT_00319,1906.64
OUT_03353,1901.93
OUT_01191,1899.93
OUT_01304,1898.53
OUT_05523,1896.73
OUT_04754,1891.47
OUT_03345,1885.66
OUT_08338,1882.86
OUT_07806,1882.45
OUT_01270,1882.33
OUT_01130,1878.8
OUT_04122,1878.43
OUT_03803,1875.67
OUT_04258,1875.2
OUT_04120,1865.69
OUT_05424,1859.98
OUT_04256,1859.95
OUT_00356,1858.5
OUT_00732,1857.37
OUT_04733,1855.31
OUT_05090,1852.65
OUT_00189,1852.53
OUT_00078,1849.58
OUT_02640,1849.51
OUT_00568,1846.95
OUT_07845,1846.04
OUT_07418,1843.83
OUT_06148,1841.97
OUT_07440,1838.07
OUT_02047,1835.91
OUT_08037,1834.89
OUT_08458,1832.37
OUT_02236,1831.84
OUT_08592,1831.59
OUT_06368,1830.75
OUT_00010,1829.9
OUT_06855,1829.8
OUT_08699,1823.86
OUT_08860,1817.65
OUT_05163,1817.33
OUT_00203,1817.21
OUT_02494,1810.14
OUT_04718,1809.51
OUT_03262,1809.31
OUT_05257,1809.18
OUT_02484,1805.14
OUT_00034,1803.4
OUT_01458,1800.39
OUT_01985,1799.81
OUT_00050,1798.87
OUT_04565,1797.78
OUT_08512,1793.95
OUT_00693,1793.1
OUT_00164,1792.95
OUT_00317,1792.81
OUT_06631,1788.94
OUT_00249,1786.96
OUT_00271,1781.49
OUT_08582,1780.35
OUT_07061,1778.1
OUT_08791,1777.44
OUT_03975,1774.79
OUT_06462,1774.34
OUT_05992,1774.31
OUT_07488,1771.1
OUT_07635,1769.7
OUT_05102,1769.3
OUT_01461,1768.7
OUT_07329,1764.81
OUT_03097,1762.21
OUT_08489,1757.7
OUT_05698,1756.6
OUT_00195,1756.54
OUT_04567,1755.69
OUT_08818,1753.85
OUT_07620,1753.77
OUT_07181,1752.11
OUT_04174,1751.35
OUT_05283,1750.56
OUT_04361,1742.64
OUT_03319,1741.1
OUT_00795,1739.58
OUT_00318,1738.5
OUT_05553,1737.67
OUT_00210,1735.85
OUT_07080,1735.28
OUT_07924,1734.46
OUT_01908,1732.95
OUT_08893,1728.78
OUT_07432,1728.42
OUT_07273,1724.94
OUT_04914,1722.4
OUT_05234,1721.85
OUT_07466,1718.03
OUT_00410,1716.64
OUT_02599,1715.33
OUT_06214,1713.99
OUT_06526,1712.85
OUT_04056,1712.44
OUT_04972,1710.5
OUT_00506,1706.67
OUT_03373,1704.31
OUT_07810,1703.65
OUT_00465,1698.1
OUT_04861,1697.58
OUT_06803,1697.42
OUT_04102,1695.09
OUT_00177,1695.04
OUT_01661,1693.58
OUT_07343,1692.66
OUT_01875,1692.46
OUT_00423,1692.3
OUT_02740,1692.26
OUT_05385,1690.88
OUT_04992,1686.88
OUT_00159,1686.52
OUT_03630,1686.47
OUT_01054,1685.51
OUT_03165,1684.06
OUT_00395,1683.6
OUT_02607,1682.98
OUT_00230,1682.22
OUT_04368,1680.48
OUT_02384,1677.22
OUT_04886,1673.39
OUT_03229,1672.84
OUT_06501,1672.66
OUT_04259,1672.45
OUT_03231,1670.82
OUT_04728,1668.14
OUT_02286,1665.62
OUT_05552,1663.76
OUT_01451,1663.64
OUT_02479,1662.78
OUT_00289,1662.23
OUT_04200,1660.17
OUT_07520,1658.52
OUT_06424,1654.56
OUT_07499,1654.47
OUT_04581,1654.25
OUT_04139,1650.52
OUT_07886,1650.46
OUT_02162,1648.85
OUT_05136,1644.48
OUT_02177,1644.21
OUT_08026,1643.16
OUT_00476,1641.29
OUT_06657,1641.26
OUT_00503,1640.68
OUT_04280,1639.08
OUT_08448,1637.54
OUT_05690,1634.72
OUT_04613,1632.76
OUT_03070,1627.69
OUT_06747,1622.12
OUT_01437,1619.32
OUT_08966,1618.51
OUT_01654,1615.24
OUT_00486,1614.58
OUT_03663,1613.29
OUT_00291,1612.05
OUT_04523,1609.98
OUT_06167,1608.37
OUT_00428,1606.58
OUT_08371,1606.32
OUT_03847,1606.15
OUT_00340,1606.13
OUT_00266,1604.43
OUT_02717,1603.77
OUT_06308,1602.59
OUT_05743,1601.35
OUT_03643,1600.93
OUT_04606,1599.7
OUT_01967,1597.64
OUT_00969,1596.32
OUT_07724,1595.95
OUT_08209,1594.86
OUT_00497,1594.17
OUT_06480,1593.02
OUT_03671,1592.38
OUT_06901,1591.71
OUT_00606,1591.11
OUT_02807,1590.86
OUT_05918,1590.52
OUT_00239,1589.63
OUT_01346,1588.98
OUT_03288,1588.49
OUT_00184,1588.18
OUT_03255,1587.43
OUT_00749,1586.7
OUT_00314,1583.68
OUT_01363,1582.66
OUT_07243,1582.58
OUT_04034,1580.84
OUT_02545,1580.01
OUT_03186,1579.91
OUT_00877,1577.36
OUT_04779,1575.25
OUT_03305,1575.25
OUT_00172,1574.15
OUT_00838,1573.62
OUT_02731,1571.99
OUT_01041,1569.61
OUT_05240,1568.21
OUT_04003,1567.92
OUT_00063,1567.71
OUT_00336,1566.97
OUT_03439,1565.41
OUT_03147,1565.09
OUT_00972,1563.94
OUT_03006,1563.56
OUT_05300,1562.92
OUT_01971,1562.63
OUT_08958,1562.17
OUT_00100,1558.2
OUT_01526,1558.15
OUT_03944,1557.17
OUT_01927,1557.12
OUT_07781,1556.36
OUT_01039,1554.72
OUT_00096,1554.48
OUT_04460,1548.23
OUT_06293,1548.04
OUT_00576,1544.26
OUT_03141,1543.76
OUT_07426,1543.46
OUT_04849,1537.9
OUT_01479,1537.87
OUT_04342,1536.2
OUT_01510,1535.98
OUT_03841,1535.9
OUT_01449,1535.57
OUT_03072,1533.2
OUT_02361,1530.88
OUT_00278,1529.48
OUT_03248,1529.38
OUT_00076,1528.95
OUT_00328,1528.67
OUT_05473,1526.15
OUT_08075,1524.68
OUT_06128,1524.13
OUT_00180,1523.9
OUT_03828,1523.78
OUT_08493,1522.46
OUT_04272,1521.52
OUT_08849,1519.33
OUT_07619,1518.51
OUT_00199,1516.5
OUT_04627,1516.32
OUT_00167,1516.14
OUT_05221,1515.48
OUT_00710,1513.53
OUT_06947,1511.12
OUT_02707,1510.7
OUT_07467,1509.63
OUT_03224,1508.69
OUT_01570,1507.8
OUT_04097,1506.37
OUT_07503,1506.29
OUT_00175,1504.7
OUT_02303,1503.81
OUT_06289,1503.2
OUT_08520,1496.68
OUT_04607,1495.5
OUT_06810,1495.24
OUT_04453,1494.62
OUT_00556,1494.47
OUT_00638,1492.27
OUT_00837,1491.11
OUT_03465,1488.85
OUT_06502,1485.89
OUT_07643,1485.34
OUT_03338,1484.9
OUT_03922,1484.23
OUT_01210,1483.71
OUT_00268,1483.42
OUT_06686,1482.41
OUT_06027,1482.25
OUT_06906,1478.05
OUT_01948,1477.77
OUT_02088,1477.56
OUT_03324,1476.53
OUT_01763,1476.29
OUT_03651,1475.34
OUT_08587,1475.12
OUT_02997,1474.03
OUT_01396,1473.04
OUT_03969,1471.59
OUT_06785,1469.97
OUT_00932,1468.55
OUT_03705,1468.2
OUT_05975,1467.72
OUT_07491,1466.01
OUT_02647,1462.49
OUT_05299,1459.73
OUT_08496,1459.53
OUT_02873,1458.2
OUT_06369,1458.07
OUT_07997,1452.7
OUT_00940,1452.68
OUT_00162,1452.43
OUT_00143,1450.7
OUT_00616,1448.47
OUT_05850,1447.97
OUT_06471,1446.97
OUT_02862,1445.82
OUT_03721,1442.78
OUT_04553,1440.31
OUT_03985,1440.09
OUT_07855,1439.72
OUT_00945,1432.35
OUT_00399,1432.29
OUT_06020,1430.25
OUT_01981,1426.41
OUT_06162,1426.38
OUT_03038,1425.54
OUT_04778,1423.21
OUT_07050,1421.82
OUT_05128,1417.35
OUT_04643,1416.92
OUT_08058,1416.21
OUT_02330,1416.1
OUT_06259,1414.64
OUT_08279,1413.8
OUT_04905,1411.65
OUT_08275,1411.54
OUT_05018,1410.5
OUT_05686,1410.4
OUT_01774,1409.85
OUT_00206,1409.55
OUT_08998,1409.03
OUT_02959,1408.49
OUT_07167,1407.69
OUT_06058,1406.08
OUT_04703,1405.89
OUT_00617,1405.69
OUT_00148,1404.64
OUT_02983,1403.93
OUT_06920,1403.77
OUT_07646,1403.27
OUT_08573,1402.84
OUT_08686,1401.71
OUT_06445,1400.96
OUT_04087,1397.28
OUT_07145,1396.64
OUT_01145,1396.61
OUT_02417,1396.43
OUT_06843,1395.59
OUT_01203,1393.72
OUT_06746,1393.71
OUT_01705,1391.87
OUT_02092,1390.49
OUT_05811,1390.41
OUT_02072,1390.32
OUT_03084,1388.55
OUT_07600,1387.41
OUT_02510,1386.77
OUT_02366,1386.71
OUT_00878,1382.17
OUT_06030,1381.55
OUT_04067,1379.81
OUT_03422,1377.12
OUT_07412,1376.23
OUT_05412,1376.17
OUT_08782,1376.06
OUT_08837,1375.84
OUT_01634,1375.42
OUT_05924,1372.01
OUT_07502,1368.98
OUT_00093,1366.83
OUT_01380,1365.92
OUT_00211,1365.9
OUT_05772,1364.95
OUT_05087,1361.89
OUT_05344,1361.74
OUT_05742,1361.71
OUT_03672,1361.0
OUT_04593,1360.88
OUT_05362,1359.58
OUT_03737,1359.26
OUT_04630,1356.1
OUT_06954,1355.3
OUT_00045,1353.64
OUT_02095,1353.33
OUT_08679,1351.99
OUT_03361,1351.84
OUT_06022,1351.48
OUT_08799,1350.55
OUT_05364,1349.91
OUT_07860,1347.96
OUT_07054,1347.72
OUT_03796,1347.18
OUT_06172,1344.59
OUT_03179,1343.79
OUT_01983,1342.18
OUT_03511,1340.45
OUT_00324,1340.34
OUT_00929,1339.99
OUT_00244,1339.5
OUT_02128,1338.41
OUT_03723,1337.83
OUT_00209,1332.76
OUT_08398,1332.35
OUT_02852,1329.68
OUT_04418,1329.04
OUT_05962,1328.61
OUT_05340,1328.29
OUT_08815,1326.93
OUT_05546,1326.74
OUT_06555,1325.73
OUT_05387,1324.99
OUT_05644,1322.42
OUT_06491,1320.89
OUT_03130,1318.8
OUT_00200,1315.75
OUT_00416,1314.36
OUT_07754,1314.31
OUT_07552,1312.12
OUT_03869,1310.85
OUT_06494,1309.43
OUT_00715,1308.92
OUT_03875,1308.68
OUT_07228,1306.94
OUT_04121,1303.84
OUT_06114,1303.62
OUT_02057,1302.9
OUT_06382,1302.85
OUT_05709,1302.63
OUT_02765,1301.84
OUT_04423,1301.79
OUT_08407,1300.12
OUT_02628,1297.77
OUT_07003,1296.29
OUT_02781,1293.76
OUT_08744,1293.34
OUT_03337,1291.8
OUT_06999,1291.8
OUT_00921,1291.06
OUT_03554,1290.09
OUT_04666,1289.85
OUT_06347,1288.62
OUT_05456,1287.79
OUT_01008,1287.49
OUT_01598,1286.78
OUT_02531,1285.19
OUT_01173,1284.57
OUT_05886,1284.19
OUT_02600,1283.41
OUT_04590,1282.0
OUT_00585,1278.87
OUT_02119,1278.58
OUT_00444,1278.4
OUT_02087,1277.42
OUT_02012,1276.4
OUT_07340,1274.95
OUT_01518,1273.72
OUT_08390,1273.26
OUT_06094,1271.18
OUT_07659,1270.31
OUT_03982,1269.96
OUT_06312,1268.6
OUT_07580,1266.54
OUT_02906,1264.09
OUT_05211,1263.42
